Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,1,51,-381,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,2,47,-377,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,3,65,-395,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,4,87,-417,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,5,73,-403,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,6,81,-411,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,7,43,-373,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,8,43,-373,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,9,95,-435,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,10,51,-391,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,11,43,-373,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,12,91,-431,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,13,47,-377,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,14,59,-389,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,15,137,-467,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,16,113,-443,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,17,77,-417,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,18,39,-379,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,19,43,-373,0
capsuleClassic,DirectionalGhost,1,AlphaBetaAgent,20,67,-397,0
originalClassic,RandomGhost,4,AlphaBetaAgent,1,471,-222,0
originalClassic,RandomGhost,4,AlphaBetaAgent,2,172,247,0
originalClassic,RandomGhost,4,AlphaBetaAgent,3,426,-157,0
originalClassic,RandomGhost,4,AlphaBetaAgent,4,216,-27,0
originalClassic,RandomGhost,4,AlphaBetaAgent,5,1398,51,0
