Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,13,110,149,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,14,206,453,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,15,264,1205,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,16,220,599,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,17,187,612,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,18,151,38,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,19,172,307,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,AlphaBetaAgent,20,40,-171,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,1,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,2,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,3,7,532,1,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,21,199,1260,0,15,0.725,0.597760126,0.583650657
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,4,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,22,101,598,0,9,0.425,-0.189118426,-0.355182376
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,5,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,23,93,386,0,6,0.275,-0.597760126,-0.655835855
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,6,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,24,242,1778,0,19,0.925,1.439531471,1.318266233
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,7,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,25,108,201,0,5,0.225,-0.755415026,-0.918198561
trappedClassic,DirectionalGhost,4,ExpectimaxAgent,8,1,-502,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,26,178,2641,0,20,0.975,1.959963985,2.5421528
