Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,13,374,1355,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,14,165,935,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,15,9,-410,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,16,10,-401,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,17,213,856,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,18,214,1245,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,19,247,1212,0,,,,,,,,,,,,used this space for generating the plots. I copy and pasted the sections of data on the left,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,AlphaBetaAgent,20,9,-410,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,ExpectimaxAgent,1,8,511,1,,,156.2,,,,,,,,1236.05,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,ExpectimaxAgent,2,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,ExpectimaxAgent,3,8,511,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,1,308,-119,0,8,0.375,-0.318639364,-0.566763538
minimaxClassic,RandomGhost,2,ExpectimaxAgent,4,6,513,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,2,875,-386,0,4,0.175,-0.934589291,-1.151597798
minimaxClassic,RandomGhost,2,ExpectimaxAgent,5,15,-506,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,3,827,342,0,11,0.525,0.062706778,0.443006476
minimaxClassic,RandomGhost,2,ExpectimaxAgent,6,2,-493,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,4,2094,-425,0,3,0.125,-1.15034938,-1.237023027
minimaxClassic,RandomGhost,2,ExpectimaxAgent,7,12,-503,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,5,2173,-564,0,1.5,0.05,-1.644853627,-1.541487305
minimaxClassic,RandomGhost,2,ExpectimaxAgent,8,3,516,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,6,2077,-208,0,6,0.275,-0.597760126,-0.761708292
minimaxClassic,RandomGhost,2,ExpectimaxAgent,9,10,509,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,7,629,80,0,10,0.475,-0.062706778,-0.130875832
minimaxClassic,RandomGhost,2,ExpectimaxAgent,10,2,-493,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,8,777,462,0,15,0.725,0.597760126,0.705853334
minimaxClassic,RandomGhost,2,ExpectimaxAgent,11,4,-495,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,9,676,933,0,20,0.975,1.959963985,1.737527253
minimaxClassic,RandomGhost,2,ExpectimaxAgent,12,8,511,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,10,1260,349,0,12,0.575,0.189118426,0.458339209
minimaxClassic,RandomGhost,2,ExpectimaxAgent,13,7,-498,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,11,2009,650,0,18,0.875,1.15034938,1.117646745
minimaxClassic,RandomGhost,2,ExpectimaxAgent,14,14,505,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,12,580,589,0,17,0.825,0.934589291,0.984032926
minimaxClassic,RandomGhost,2,ExpectimaxAgent,15,14,505,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,13,3548,-564,0,1.5,0.05,-1.644853627,-1.541487305
minimaxClassic,RandomGhost,2,ExpectimaxAgent,16,27,492,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,14,162,27,0,9,0.425,-0.189118426,-0.246966527
minimaxClassic,RandomGhost,2,ExpectimaxAgent,17,15,504,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,15,621,698,0,19,0.925,1.439531471,1.222785489
minimaxClassic,RandomGhost,2,ExpectimaxAgent,18,3,516,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,16,885,-165,0,7,0.325,-0.45376219,-0.667521501
minimaxClassic,RandomGhost,2,ExpectimaxAgent,19,4,-495,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,17,3120,-271,0,5,0.225,-0.755415026,-0.899702892
minimaxClassic,RandomGhost,2,ExpectimaxAgent,20,21,498,1,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,18,1226,363,0,13,0.625,0.318639364,0.489004676
originalClassic,RandomGhost,5,ExpectimaxAgent,1,308,-119,0,,,30,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,19,955,454,0,14,0.675,0.45376219,0.68833021
originalClassic,RandomGhost,5,ExpectimaxAgent,2,875,-386,0,,,,,,,,,,,,originalClassic,RandomGhost,5,ExpectimaxAgent,20,1059,550,0,16,0.775,0.755415026,0.898607697
originalClassic,RandomGhost,5,ExpectimaxAgent,3,827,342,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,ExpectimaxAgent,4,2094,-425,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,ExpectimaxAgent,5,2173,-564,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,1,3,516,1,7.5,0.35,-0.385320466,-0.562731434
originalClassic,RandomGhost,5,ExpectimaxAgent,6,2077,-208,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,2,2,-493,0,1.5,0.05,-1.644853627,-1.313040012
